"Word","WordOrder","Participant","Position","Filename","Vowel","Notes","vowel","penult","ult","focus","final","condition","tex_position","answer_1","answer_2","answer_3","answer_4","notes","Duration","f0.1","f0.2","f0.3","f0.4","f0.5","f0.6","f0.7","H1H2","Intensity","SpectralBalance","PositionFactor","FinalFactor","FocusFactor","poly0","poly1","poly2","poly3","Factor1","Factor2","Factor3"
"cete",101,"S6_",1,"PSE-20150315_S6_F.WAV","e","","e","light","light","yes","yes","b","right","daun","cete",NA,NA,"",0.0203506557207902,262.168518531048,258.994994955797,255.821471380546,252.647947805295,249.31976183981,245.991499838251,242.663237836692,8.5347089589209,73.6549098242116,39.8147520525755,"Initial","sentence final","focus",265.253685322186,-3.0741336588814,-0.0220783337318869,-2.11211316478861e-06,0.416196024556226,0.436028509379279,-0.139108749062577
"cete",101,"S6_",2,"PSE-20150315_S6_F.WAV","e","","e","light","light","yes","yes","b","right","daun","cete",NA,NA,"",0.16660403483354,237.244532800715,232.230004673163,227.749194003823,219.482731296111,209.21224331739,198.23284624063,186.652841109945,1.69536264354879,75.7978713797977,29.0008292683946,"Final","sentence final","focus",238.026492353347,0.303958494256941,-1.47281018552702,0.0539560396721098,0.69684630926499,-0.669766607809434,-0.18777659575896
"cete",102,"S5_",1,"PSE-20150315_S5_F.WAV","e","","e","light","light","yes","no","a","right","kawe","cete",NA,NA,"",0.0489760499740441,214.397204101342,211.157750748377,207.700167121773,204.116042742875,200.606743903324,197.197012809375,193.959709018402,6.83180950515536,75.1514341470163,35.5426388316333,"Initial","sentence medial","focus",217.363573403013,-2.77601259114726,-0.20079748255212,0.0171296131808604,0.447526621669742,0.152325071253435,-0.180303613029311
"cete",102,"S5_",2,"PSE-20150315_S5_F.WAV","e","","e","light","light","yes","no","a","right","kawe","cete",NA,NA,"",0.177866037806552,313.197653932433,325.664074893329,335.788960901908,343.716214612668,350.053324892209,354.907188820617,351.032142136412,15.1300152923609,76.0896430148867,31.6117639288544,"Final","sentence medial","focus",302.367670891319,10.7855718731606,0.566678291574741,-0.157583047600275,0.702743984763834,1.68322624987048,2.27809842523535
"cete",103,"S16",1,"PSE-20150318-S16_F.WAV","e","","e","light","light","yes","yes","b","right","daun","cete",NA,NA,"",0.0507656891828674,259.2377805153,243.614705621177,235.622211604648,230.835806835438,227.15824699628,224.388069682553,220.892971088437,6.61241796314665,75.8076824300458,25.9240688597168,"Initial","sentence final","focus",281.035724877612,-26.3912009857077,4.61055956560159,-0.295950246663081,-1.16154259730461,-0.0371957173227024,-1.0232297215356
"cete",103,"S16",2,"PSE-20150318-S16_F.WAV","e","","e","light","light","yes","yes","b","right","daun","cete",NA,NA,"",0.206063012870914,231.69466769298,226.930864477941,219.10781505813,211.955682078258,204.514656715197,204.452149113241,214.963557265107,5.30366339396389,75.8448598569982,32.6692027577309,"Final","sentence final","focus",227.939850136558,8.33206440598985,-5.41595703185546,0.565021202215556,1.88301102301001,-0.0968985392953879,-1.72257834578622
"cete",103,"S2_",1,"PSE-20150315_S2_F.WAV","e","","e","light","light","no","no","c","left","kidau","kanan","pucuk","bawah","",0.0703619452558542,249.890442958384,243.127186844119,240.089431629496,238.528835993263,237.783123229813,237.269166859196,235.933618348044,-1.56614005665772,79.2965220925025,35.8022732083894,"Initial","sentence medial","no focus",260.064199946309,-12.5348292386443,2.42353800359174,-0.160902672937049,-0.423288522830718,-1.27263056918959,-0.132679531963666
"cete",103,"S2_",2,"PSE-20150315_S2_F.WAV","e","","e","light","light","no","no","c","left","kidau","kanan","pucuk","bawah","",0.240777093003771,275.680262473923,291.493605627577,301.526114243475,309.776615302526,321.843414455412,345.223283332835,370.156609559314,3.51846398692389,77.9197596089115,32.1268291992478,"Final","sentence medial","no focus",254.493990971212,26.5270504545786,-5.3815836172627,0.567482476894332,2.40301855518212,-0.200723596797654,0.722750680870697
"cete",104,"S2_",1,"PSE-20150315_S2_F.WAV","e","","e","light","light","no","no","c","right","kidau","kanan","pucuk","bawah","",0.0551879957550909,242.656108738869,234.986577897018,233.603793175124,232.338411256282,231.085580557862,229.749273347793,228.434387005823,-0.355838290958708,77.5348104357179,36.4256238787433,"Initial","sentence medial","no focus",252.258037622701,-12.4026178286548,2.53671952813121,-0.179616793515524,-0.436107269742873,-1.07061881760285,-0.0479493652304608
"cete",104,"S2_",2,"PSE-20150315_S2_F.WAV","e","","e","light","light","no","no","c","right","kidau","kanan","pucuk","bawah","",0.0887697260776577,289.026886591322,280.885526411905,277.739368205676,279.28883456956,284.880996000372,287.437985495317,281.786470788086,-0.191740466941177,78.1059614045843,29.0949697358389,"Final","sentence medial","no focus",311.158949182927,-28.5662028833142,7.56210036997963,-0.581513963370668,-1.9095865560734,-1.10983348572531,0.398764944256844
"cete",105,"S2_",1,"PSE-20150315_S2_F.WAV","e","","e","light","light","no","no","c","top","kidau","kanan","pucuk","bawah","",0.0524642184724371,252.705453986885,247.203133089346,244.454435683199,243.152393778274,242.235133045114,241.115827117686,239.366169594753,0.128315061549003,76.5113896037679,35.5359581903954,"Initial","sentence medial","no focus",261.078983019989,-10.3111108651149,2.00708045853557,-0.139796549510748,-0.266614065584823,-0.978267790007215,-0.0390353295549078
"cete",105,"S2_",2,"PSE-20150315_S2_F.WAV","e","","e","light","light","no","no","c","top","kidau","kanan","pucuk","bawah","",0.0849706872370461,284.853149655107,285.634873928671,289.65036545032,295.491770251645,299.789960354876,300.589057644412,296.430748232571,5.83133459696815,76.9088865821329,29.1123420428769,"Final","sentence medial","no focus",289.771979823603,-8.54472696058116,3.98314847875643,-0.375449445634244,-0.601713704932947,0.0217710334224139,1.39114031685662
"cete",106,"S2_",1,"PSE-20150315_S2_F.WAV","e","","e","light","light","no","no","c","bottom","kidau","kanan","pucuk","bawah","",0.0628508511942982,247.57712622863,240.151608437312,236.438743138358,234.540741748424,234.386910365535,234.4932304209,234.163663677404,1.99091746257748,76.7610970072818,39.7570297009627,"Initial","sentence medial","no focus",259.049683547803,-13.9398832238904,2.59232227810167,-0.158423660055303,-0.452391544277852,-0.704799087387108,-0.321614254781336
"cete",106,"S2_",2,"PSE-20150315_S2_F.WAV","e","","e","light","light","no","no","c","bottom","kidau","kanan","pucuk","bawah","",0.0903153964623016,280.453442190359,283.425043023717,290.000670469285,293.863729826882,296.031914410291,296.008526424495,290.118548897961,4.9036218582169,77.7714463676628,33.9925433486149,"Final","sentence medial","no focus",278.808995758891,-0.357833730595708,2.02257927681471,-0.248600573171718,0.000229379463345702,-0.0807419195911353,1.55844507771837
"cete",112,"S6_",1,"PSE-20150315_S6_F.WAV","e","","e","light","light","yes","yes","b","right","kawe","cete",NA,NA,"",0.01718288895961,239.191469959933,236.259175837776,233.716355498818,231.173535159994,228.630714821035,226.087894482077,223.779022617923,7.46388162313063,73.9367939172818,36.731716907587,"Initial","sentence final","focus",242.101357463172,-3.03347755253269,0.0889502372443231,-0.00432014745910618,0.388741858270514,0.261075750619723,-0.0777717985746051
"cete",112,"S6_",2,"PSE-20150315_S6_F.WAV","e","","e","light","light","yes","yes","b","right","kawe","cete",NA,NA,"",0.124369727501062,211.110169128535,204.166714137971,198.314391609612,192.410496437994,185.704814710707,179.247061822264,173.169402093746,3.79198696145117,74.9149673086263,33.5499864458445,"Final","sentence final","focus",217.567606959318,-6.73535726851691,0.133587028136012,-0.0114316061160253,0.233889258091636,-0.379503262801854,-0.504603537995006
"cete",122,"S4_",1,"PSE-20150315_S4_F.WAV","e","","e","light","light","yes","no","a","right","gunung","cete",NA,NA,"",0.0355494998384529,NA,232.351758193488,232.32267327499,232.090955873961,231.859238472933,227.349185199044,222.228698950707,14.6975989101098,74.0789115012359,17.2995079634797,"Initial","sentence medial","focus",234.399906341856,-2.70854035554987,1.0990664358315,-0.137722315538622,0.233841871798659,1.47478680629326,0.60012440264481
"cete",122,"S4_",2,"PSE-20150315_S4_F.WAV","e","","e","light","light","yes","no","a","right","gunung","cete",NA,NA,"",0.157646840423126,255.321879851553,255.640760104708,263.677983625382,271.393339849459,278.586165245209,289.750932823257,297.466396494742,-7.1038070077139,82.3750463583079,32.93023115835,"Final","sentence medial","focus",257.423974370856,-5.25613707525788,2.9052741807988,-0.190939935977414,-0.349178981217219,-2.09720473849078,1.11518036448951
"cete",129,"S4_",1,"PSE-20150315_S4_F.WAV","e","","e","light","light","yes","no","a","right","kawe","cete",NA,NA,"",0.0170383861707251,240.318107903164,239.837378684338,238.458182330184,237.078985976104,235.699789622024,234.32059326787,233.842394345416,1.01492903277046,66.8979586133646,22.2066383757324,"Initial","sentence medial","focus",240.02727655102,0.861788719051285,-0.599670909414104,0.0499851268577817,0.577074790392652,-0.762678839331964,0.142046217901323
