WordOrder	Word	Participant	Position	Vowel	Weight	Focus	Final	Duration	F0	H1H2	Intensity	SpectralBalance
34	cingki	S1	ultima	i	heavy	in-focus	final	0.329683610581412	216.321097354243	9.85575019835814	70.7147897309763	30.1914835816847
35	tutus	S1	penult	u	light	in-focus	final	0.072037345027098	231.963180332265	2.14741939949528	73.1939166275302	40.981479922097
35	tutus	S1	ultima	u	light	in-focus	final	0.203185177099556	233.854308367202	1.71414477571397	74.5576091934199	37.2781854947163
36	pipis	S1	penult	i	light	in-focus	final	0.074165034635456	221.824173456052	5.47014785907632	73.1871436361832	39.22083417476
36	pipis	S1	ultima	i	light	in-focus	final	0.259089261798863	237.463841066129	-1.1163436426509	77.5132449381007	37.9509601812912
37	tungku	S1	penult	u	heavy	in-focus	final	0.071898491418864	231.480925495025	-0.64164184706123	77.8260658392346	44.3036685572399
37	tungku	S1	ultima	u	heavy	in-focus	final	0.335082632694707	223.029541515355	0.944605437234664	74.5159619135831	47.4123428317418
38	tatap	S1	penult	a	light	in-focus	final	0.104266807400364	215.009522516029	5.09404067705069	77.264556199768	36.6606259075971
38	tatap	S1	ultima	a	light	in-focus	final	0.16464530828182	230.894563219333	6.08955587339823	78.4235098128016	38.5080734086434
39	cingki	S1	penult	i	heavy	in-focus	final	0.107238675240723	222.032357580682	8.45108241022514	73.7856286707561	33.9643174453392
39	cingki	S1	ultima	i	heavy	in-focus	final	0.334376703757727	221.19937953807	2.41556675541399	74.7397845989633	31.94960451451
40	cete	S1	penult	e	light	in-focus	final	0.051982423046809	227.841473381969	0.44738226562675	77.2429680204635	39.8017486972749
40	cete	S1	ultima	e	light	in-focus	final	0.348680513033088	232.389725570324	2.83702305904415	72.6019808346895	33.9338304684712
41	cete	S1	penult	e	light	in-focus	final	0.043398976903234	228.128221984103	1.08083565344975	76.814591387668	36.729020131208
41	cete	S1	ultima	e	light	in-focus	final	0.349525964120119	226.137018103047	-1.03586500904726	74.9038739600827	36.2273228883062
42	susu	S1	penult	u	light	in-focus	final	0.089188747559035	223.100851302068	5.48354541978561	70.9184219087631	32.6507696155842
42	susu	S1	ultima	u	light	in-focus	final	0.346234261511711	242.941165208366	2.92151479646934	70.951926740087	39.3293692982307
43	sinting	S1	penult	i	heavy	in-focus	final	0.082783179075051	224.951596571729	6.88761202116458	74.5114446156609	31.2235501271429
43	sinting	S1	ultima	i	heavy	in-focus	final	0.180990594100535	232.656106795286	2.86315752665466	76.6282784867141	30.6318346740912
